schema_version,step,time_s,bin_index,r_inner_m,r_outer_m,r_center_m,mean_b_t,sample_count,step_max_b_t,recommended_dt_s,profile_kind
2,100,1.0000000116860974e-05,22,0.34375,0.359375,0.3515625,27.441837657581676,44,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,23,0.359375,0.375,0.3671875,28.289658515684067,31,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,24,0.375,0.390625,0.3828125,27.408087553801359,27,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,25,0.390625,0.40625,0.3984375,27.222423184302546,31,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,26,0.40625,0.421875,0.4140625,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,27,0.421875,0.4375,0.4296875,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,28,0.4375,0.453125,0.4453125,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,29,0.453125,0.46875,0.4609375,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,30,0.46875,0.484375,0.4765625,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,100,1.0000000116860974e-05,31,0.484375,0.5,0.4921875,0,0,33.587547302246094,3.0877191085758145e-11,uniform
2,200,2.0000000233721948e-05,0,0,0.015625,0.0078125,27.00687313079834,36,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,1,0.015625,0.03125,0.0234375,26.9582581800573,34,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,2,0.03125,0.046875,0.0390625,26.907525837421417,32,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,3,0.046875,0.0625,0.0546875,27.029998891493854,34,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,4,0.0625,0.078125,0.0703125,27.160217138437126,39,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,5,0.078125,0.09375,0.0859375,26.925094223022462,40,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,6,0.09375,0.109375,0.1015625,26.752413693596335,34,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,7,0.109375,0.125,0.1171875,26.921487110417065,41,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,8,0.125,0.140625,0.1328125,26.740365826353734,49,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,9,0.140625,0.15625,0.1484375,27.1811903401425,38,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,10,0.15625,0.171875,0.1640625,27.096229986710981,44,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,11,0.171875,0.1875,0.1796875,26.942707670495864,47,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,12,0.1875,0.203125,0.1953125,27.260901475564026,39,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,13,0.203125,0.21875,0.2109375,27.361410793505218,38,33.587570190429688,3.0877170044557055e-11,uniform
