schema_version,step,time_s,bin_index,r_inner_m,r_outer_m,r_center_m,ion_count,macro_weight,shell_volume_m3,density_m3,avg_ion_energy_kev,fusion_events_cumulative,fusion_rate_m3_s,fusion_rate_placeholder
2,100,1.0000000116860974e-05,12,0.1875,0.203125,0.1953125,39,999999995904,0.24095713869847066,161854510934659.97,4.9385732055261827e-12,0,0,0
2,100,1.0000000116860974e-05,13,0.203125,0.21875,0.2109375,38,999999995904,0.26023370979434829,146022588212656.22,5.7568387500088942e-12,0,0,0
2,100,1.0000000116860974e-05,14,0.21875,0.234375,0.2265625,45,999999995904,0.27951028089022595,160995866314316.97,6.5117006029049757e-12,0,0,0
2,100,1.0000000116860974e-05,15,0.234375,0.25,0.2421875,47,999999995904,0.29878685198610361,157302771173056.66,7.2623514592122051e-12,0,0,0
2,100,1.0000000116860974e-05,16,0.25,0.265625,0.2578125,34,999999995904,0.31806342308198127,106896918643714.83,7.9349378194323427e-12,0,0,0
2,100,1.0000000116860974e-05,17,0.265625,0.28125,0.2734375,36,999999995904,0.33733999417785893,106717259956918.67,8.9193002940407404e-12,0,0,0
2,100,1.0000000116860974e-05,18,0.28125,0.296875,0.2890625,43,999999995904,0.35661656527373659,120577684861233.17,1.1348965841016705e-11,0,0,0
2,100,1.0000000116860974e-05,19,0.296875,0.3125,0.3046875,38,999999995904,0.37589313636961424,101092561070300.44,1.0513926112830007e-11,0,0,0
2,100,1.0000000116860974e-05,20,0.3125,0.328125,0.3203125,35,999999995904,0.39516970746549185,88569541630911.5,1.326414112998649e-11,0,0,0
2,100,1.0000000116860974e-05,21,0.328125,0.34375,0.3359375,44,999999995904,0.41444627856136951,106165749569544.42,1.4165023023054001e-11,0,0,0
2,100,1.0000000116860974e-05,22,0.34375,0.359375,0.3515625,44,999999995904,0.43372284965724717,101447271810898,1.600094444662026e-11,0,0,0
2,100,1.0000000116860974e-05,23,0.359375,0.375,0.3671875,31,999999995904,0.45299942075312483,68432758305707.305,1.5879552159444347e-11,0,0,0
2,100,1.0000000116860974e-05,24,0.375,0.390625,0.3828125,27,999999995904,0.47227599184900249,57169960691206.43,1.6663192963550343e-11,0,0,0
2,100,1.0000000116860974e-05,25,0.390625,0.40625,0.3984375,31,999999995904,0.49155256294488014,63065483144475.359,1.658953719782179e-11,0,0,0
2,100,1.0000000116860974e-05,26,0.40625,0.421875,0.4140625,0,999999995904,0.5108291340407578,0,0,0,0,0
2,100,1.0000000116860974e-05,27,0.421875,0.4375,0.4296875,0,999999995904,0.53010570513663546,0,0,0,0,0
2,100,1.0000000116860974e-05,28,0.4375,0.453125,0.4453125,0,999999995904,0.54938227623251312,0,0,0,0,0
2,100,1.0000000116860974e-05,29,0.453125,0.46875,0.4609375,0,999999995904,0.56865884732839078,0,0,0,0,0
2,100,1.0000000116860974e-05,30,0.46875,0.484375,0.4765625,0,999999995904,0.58793541842426844,0,0,0,0,0
2,100,1.0000000116860974e-05,31,0.484375,0.5,0.4921875,0,999999995904,0.6072119895201461,0,0,0,0,0
2,200,2.0000000233721948e-05,0,0,0.015625,0.0078125,36,999999995904,0.0096382855479388262,3735104098492153.5,4.7989951130206716e-15,0,0,0
2,200,2.0000000233721948e-05,1,0.015625,0.03125,0.0234375,34,999999995904,0.028914856643816478,1175866105080863,4.9884511782689602e-14,0,0,0
2,200,2.0000000233721948e-05,2,0.03125,0.046875,0.0390625,32,999999995904,0.048191427739694134,664018506398605,1.8798974292720522e-13,0,0,0
2,200,2.0000000233721948e-05,3,0.046875,0.0625,0.0546875,34,999999995904,0.06746799883557178,503942616463227.06,3.1781477377059319e-13,0,0,0
